Wording Style,Option 1,Option 2,Question,Answer
5,Goldfish Crackers,Puff Puff,What's the more delicious children's snack -- Goldfish Crackers or Puff Puff? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
1,Goldfish Crackers,Banana Cue,What is the more delicious children's snack? Goldfish Crackers or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
2,Goldfish Crackers,Banana Cue,Which is the more delicious children's snack? Goldfish Crackers or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
3,Goldfish Crackers,Banana Cue,What's the more delicious children's snack: Goldfish Crackers or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
4,Goldfish Crackers,Banana Cue,Which is the more delicious children's snack? Goldfish Crackers or Banana Cue? ... Answer with only and exactly one of these two options.,"Banana Cue
"
5,Goldfish Crackers,Banana Cue,What's the more delicious children's snack -- Goldfish Crackers or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
1,Haribo Goldbears,Churros,What is the more delicious children's snack? Haribo Goldbears or Churros? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
2,Haribo Goldbears,Churros,Which is the more delicious children's snack? Haribo Goldbears or Churros? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Haribo Goldbears,Churros,What's the more delicious children's snack: Haribo Goldbears or Churros? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
4,Haribo Goldbears,Churros,Which is the more delicious children's snack? Haribo Goldbears or Churros? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
5,Haribo Goldbears,Churros,What's the more delicious children's snack -- Haribo Goldbears or Churros? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
1,Haribo Goldbears,Pocky,What is the more delicious children's snack? Haribo Goldbears or Pocky? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
2,Haribo Goldbears,Pocky,Which is the more delicious children's snack? Haribo Goldbears or Pocky? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Haribo Goldbears,Pocky,What's the more delicious children's snack: Haribo Goldbears or Pocky? Answer with only and exactly one of these two options.,"Pocky
"
4,Haribo Goldbears,Pocky,Which is the more delicious children's snack? Haribo Goldbears or Pocky? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
5,Haribo Goldbears,Pocky,What's the more delicious children's snack -- Haribo Goldbears or Pocky? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
1,Haribo Goldbears,Goldfish Crackers,What is the more delicious children's snack? Haribo Goldbears or Goldfish Crackers? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
2,Haribo Goldbears,Goldfish Crackers,Which is the more delicious children's snack? Haribo Goldbears or Goldfish Crackers? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Haribo Goldbears,Goldfish Crackers,What's the more delicious children's snack: Haribo Goldbears or Goldfish Crackers? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
4,Haribo Goldbears,Goldfish Crackers,Which is the more delicious children's snack? Haribo Goldbears or Goldfish Crackers? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
5,Haribo Goldbears,Goldfish Crackers,What's the more delicious children's snack -- Haribo Goldbears or Goldfish Crackers? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
1,Haribo Goldbears,Loukoumades,What is the more delicious children's snack? Haribo Goldbears or Loukoumades? Answer with only and exactly one of these two options.,"Loukoumades
"
2,Haribo Goldbears,Loukoumades,Which is the more delicious children's snack? Haribo Goldbears or Loukoumades? Answer with only and exactly one of these two options.,"Loukoumades
"
3,Haribo Goldbears,Loukoumades,What's the more delicious children's snack: Haribo Goldbears or Loukoumades? Answer with only and exactly one of these two options.,"Loukoumades
"
4,Haribo Goldbears,Loukoumades,Which is the more delicious children's snack? Haribo Goldbears or Loukoumades? ... Answer with only and exactly one of these two options.,"Loukoumades
"
5,Haribo Goldbears,Loukoumades,What's the more delicious children's snack -- Haribo Goldbears or Loukoumades? Answer with only and exactly one of these two options.,"Loukoumades
"
1,Haribo Goldbears,Ma'amoul,What is the more delicious children's snack? Haribo Goldbears or Ma'amoul? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
2,Haribo Goldbears,Ma'amoul,Which is the more delicious children's snack? Haribo Goldbears or Ma'amoul? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Haribo Goldbears,Ma'amoul,What's the more delicious children's snack: Haribo Goldbears or Ma'amoul? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
4,Haribo Goldbears,Ma'amoul,Which is the more delicious children's snack? Haribo Goldbears or Ma'amoul? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
5,Haribo Goldbears,Ma'amoul,What's the more delicious children's snack -- Haribo Goldbears or Ma'amoul? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
1,Haribo Goldbears,Bánh rán,What is the more delicious children's snack? Haribo Goldbears or Bánh rán? Answer with only and exactly one of these two options.,"Bánh rán
"
2,Haribo Goldbears,Bánh rán,Which is the more delicious children's snack? Haribo Goldbears or Bánh rán? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Haribo Goldbears,Bánh rán,What's the more delicious children's snack: Haribo Goldbears or Bánh rán? Answer with only and exactly one of these two options.,"Bánh rán
"
4,Haribo Goldbears,Bánh rán,Which is the more delicious children's snack? Haribo Goldbears or Bánh rán? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
5,Haribo Goldbears,Bánh rán,What's the more delicious children's snack -- Haribo Goldbears or Bánh rán? Answer with only and exactly one of these two options.,"Bánh rán
"
1,Haribo Goldbears,Vada Pav,What is the more delicious children's snack? Haribo Goldbears or Vada Pav? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
2,Haribo Goldbears,Vada Pav,Which is the more delicious children's snack? Haribo Goldbears or Vada Pav? Answer with only and exactly one of these two options.,"Vada Pav
"
3,Haribo Goldbears,Vada Pav,What's the more delicious children's snack: Haribo Goldbears or Vada Pav? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
4,Haribo Goldbears,Vada Pav,Which is the more delicious children's snack? Haribo Goldbears or Vada Pav? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
5,Haribo Goldbears,Vada Pav,What's the more delicious children's snack -- Haribo Goldbears or Vada Pav? Answer with only and exactly one of these two options.,"Vada Pav
"
1,Haribo Goldbears,Puff Puff,What is the more delicious children's snack? Haribo Goldbears or Puff Puff? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
2,Haribo Goldbears,Puff Puff,Which is the more delicious children's snack? Haribo Goldbears or Puff Puff? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Haribo Goldbears,Puff Puff,What's the more delicious children's snack: Haribo Goldbears or Puff Puff? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
4,Haribo Goldbears,Puff Puff,Which is the more delicious children's snack? Haribo Goldbears or Puff Puff? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
5,Haribo Goldbears,Puff Puff,What's the more delicious children's snack -- Haribo Goldbears or Puff Puff? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
1,Haribo Goldbears,Banana Cue,What is the more delicious children's snack? Haribo Goldbears or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
2,Haribo Goldbears,Banana Cue,Which is the more delicious children's snack? Haribo Goldbears or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
3,Haribo Goldbears,Banana Cue,What's the more delicious children's snack: Haribo Goldbears or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
4,Haribo Goldbears,Banana Cue,Which is the more delicious children's snack? Haribo Goldbears or Banana Cue? ... Answer with only and exactly one of these two options.,"Banana Cue
"
5,Haribo Goldbears,Banana Cue,What's the more delicious children's snack -- Haribo Goldbears or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
1,Loukoumades,Churros,What is the more delicious children's snack? Loukoumades or Churros? Answer with only and exactly one of these two options.,"Churros
"
2,Loukoumades,Churros,Which is the more delicious children's snack? Loukoumades or Churros? Answer with only and exactly one of these two options.,"Churros
"
3,Loukoumades,Churros,What's the more delicious children's snack: Loukoumades or Churros? Answer with only and exactly one of these two options.,"Churros
"
4,Loukoumades,Churros,Which is the more delicious children's snack? Loukoumades or Churros? ... Answer with only and exactly one of these two options.,"Loukoumades
"
5,Loukoumades,Churros,What's the more delicious children's snack -- Loukoumades or Churros? Answer with only and exactly one of these two options.,"Churros
"
1,Loukoumades,Pocky,What is the more delicious children's snack? Loukoumades or Pocky? Answer with only and exactly one of these two options.,"Loukoumades
"
2,Loukoumades,Pocky,Which is the more delicious children's snack? Loukoumades or Pocky? Answer with only and exactly one of these two options.,"Loukoumades
"
3,Loukoumades,Pocky,What's the more delicious children's snack: Loukoumades or Pocky? Answer with only and exactly one of these two options.,"Loukoumades
"
4,Loukoumades,Pocky,Which is the more delicious children's snack? Loukoumades or Pocky? ... Answer with only and exactly one of these two options.,"Loukoumades
"
5,Loukoumades,Pocky,What's the more delicious children's snack -- Loukoumades or Pocky? Answer with only and exactly one of these two options.,"Loukoumades
"
1,Loukoumades,Goldfish Crackers,What is the more delicious children's snack? Loukoumades or Goldfish Crackers? Answer with only and exactly one of these two options.,"Loukoumades
"
2,Loukoumades,Goldfish Crackers,Which is the more delicious children's snack? Loukoumades or Goldfish Crackers? Answer with only and exactly one of these two options.,"Loukoumades
"
3,Loukoumades,Goldfish Crackers,What's the more delicious children's snack: Loukoumades or Goldfish Crackers? Answer with only and exactly one of these two options.,"Loukoumades
"
4,Loukoumades,Goldfish Crackers,Which is the more delicious children's snack? Loukoumades or Goldfish Crackers? ... Answer with only and exactly one of these two options.,"Loukoumades
"
5,Loukoumades,Goldfish Crackers,What's the more delicious children's snack -- Loukoumades or Goldfish Crackers? Answer with only and exactly one of these two options.,"Loukoumades
"
1,Loukoumades,Haribo Goldbears,What is the more delicious children's snack? Loukoumades or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
2,Loukoumades,Haribo Goldbears,Which is the more delicious children's snack? Loukoumades or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Loukoumades,Haribo Goldbears,What's the more delicious children's snack: Loukoumades or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
4,Loukoumades,Haribo Goldbears,Which is the more delicious children's snack? Loukoumades or Haribo Goldbears? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
