Wording Style,Option 1,Option 2,Question,Answer
1,Momotaro,Anansi and the Moss-Covered Rock,What is the more interesting folktale? Momotaro or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Momotaro
2,Momotaro,Anansi and the Moss-Covered Rock,Which is the more interesting folktale? Momotaro or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Momotaro
3,Momotaro,Anansi and the Moss-Covered Rock,What's a more interesting folktale: Momotaro or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Momotaro
4,Momotaro,Anansi and the Moss-Covered Rock,Which is the more interesting folktale? Momotaro or Anansi and the Moss-Covered Rock? ... Answer with only and exactly one of these two options.,Momotaro
5,Momotaro,Anansi and the Moss-Covered Rock,What's the more interesting folktale -- Momotaro or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Momotaro
1,Momotaro,The Monkey and the Turtle,What is the more interesting folktale? Momotaro or The Monkey and the Turtle? Answer with only and exactly one of these two options.,Momotaro
2,Momotaro,The Monkey and the Turtle,Which is the more interesting folktale? Momotaro or The Monkey and the Turtle? Answer with only and exactly one of these two options.,Momotaro
3,Momotaro,The Monkey and the Turtle,What's a more interesting folktale: Momotaro or The Monkey and the Turtle? Answer with only and exactly one of these two options.,Momotaro
4,Momotaro,The Monkey and the Turtle,Which is the more interesting folktale? Momotaro or The Monkey and the Turtle? ... Answer with only and exactly one of these two options.,Momotaro
5,Momotaro,The Monkey and the Turtle,What's the more interesting folktale -- Momotaro or The Monkey and the Turtle? Answer with only and exactly one of these two options.,Momotaro
1,Paul Bunyan,La Llorona,What is the more interesting folktale? Paul Bunyan or La Llorona? Answer with only and exactly one of these two options.,La Llorona
2,Paul Bunyan,La Llorona,Which is the more interesting folktale? Paul Bunyan or La Llorona? Answer with only and exactly one of these two options.,La Llorona
3,Paul Bunyan,La Llorona,What's a more interesting folktale: Paul Bunyan or La Llorona? Answer with only and exactly one of these two options.,La Llorona
4,Paul Bunyan,La Llorona,Which is the more interesting folktale? Paul Bunyan or La Llorona? ... Answer with only and exactly one of these two options.,La Llorona
5,Paul Bunyan,La Llorona,What's the more interesting folktale -- Paul Bunyan or La Llorona? Answer with only and exactly one of these two options.,La Llorona
1,Paul Bunyan,Momotaro,What is the more interesting folktale? Paul Bunyan or Momotaro? Answer with only and exactly one of these two options.,Momotaro
2,Paul Bunyan,Momotaro,Which is the more interesting folktale? Paul Bunyan or Momotaro? Answer with only and exactly one of these two options.,Momotaro
3,Paul Bunyan,Momotaro,What's a more interesting folktale: Paul Bunyan or Momotaro? Answer with only and exactly one of these two options.,Momotaro
4,Paul Bunyan,Momotaro,Which is the more interesting folktale? Paul Bunyan or Momotaro? ... Answer with only and exactly one of these two options.,Momotaro
5,Paul Bunyan,Momotaro,What's the more interesting folktale -- Paul Bunyan or Momotaro? Answer with only and exactly one of these two options.,Momotaro
1,Paul Bunyan,The Pied Piper of Hamelin,What is the more interesting folktale? Paul Bunyan or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,Paul Bunyan
2,Paul Bunyan,The Pied Piper of Hamelin,Which is the more interesting folktale? Paul Bunyan or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,Paul Bunyan
3,Paul Bunyan,The Pied Piper of Hamelin,What's a more interesting folktale: Paul Bunyan or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
4,Paul Bunyan,The Pied Piper of Hamelin,Which is the more interesting folktale? Paul Bunyan or The Pied Piper of Hamelin? ... Answer with only and exactly one of these two options.,Paul Bunyan
5,Paul Bunyan,The Pied Piper of Hamelin,What's the more interesting folktale -- Paul Bunyan or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
1,Paul Bunyan,The Fox and the Grapes,What is the more interesting folktale? Paul Bunyan or The Fox and the Grapes? Answer with only and exactly one of these two options.,Paul Bunyan
2,Paul Bunyan,The Fox and the Grapes,Which is the more interesting folktale? Paul Bunyan or The Fox and the Grapes? Answer with only and exactly one of these two options.,Paul Bunyan
3,Paul Bunyan,The Fox and the Grapes,What's a more interesting folktale: Paul Bunyan or The Fox and the Grapes? Answer with only and exactly one of these two options.,Paul Bunyan
4,Paul Bunyan,The Fox and the Grapes,Which is the more interesting folktale? Paul Bunyan or The Fox and the Grapes? ... Answer with only and exactly one of these two options.,Paul Bunyan
5,Paul Bunyan,The Fox and the Grapes,What's the more interesting folktale -- Paul Bunyan or The Fox and the Grapes? Answer with only and exactly one of these two options.,Paul Bunyan
1,Paul Bunyan,Ali Baba and the Forty Thieves,What is the more interesting folktale? Paul Bunyan or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
2,Paul Bunyan,Ali Baba and the Forty Thieves,Which is the more interesting folktale? Paul Bunyan or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
3,Paul Bunyan,Ali Baba and the Forty Thieves,What's a more interesting folktale: Paul Bunyan or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
4,Paul Bunyan,Ali Baba and the Forty Thieves,Which is the more interesting folktale? Paul Bunyan or Ali Baba and the Forty Thieves? ... Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
5,Paul Bunyan,Ali Baba and the Forty Thieves,What's the more interesting folktale -- Paul Bunyan or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
1,Paul Bunyan,Tấm and Cám,What is the more interesting folktale? Paul Bunyan or Tấm and Cám? Answer with only and exactly one of these two options.,Tấm and Cám
2,Paul Bunyan,Tấm and Cám,Which is the more interesting folktale? Paul Bunyan or Tấm and Cám? Answer with only and exactly one of these two options.,Tấm and Cám
3,Paul Bunyan,Tấm and Cám,What's a more interesting folktale: Paul Bunyan or Tấm and Cám? Answer with only and exactly one of these two options.,Tấm and Cám
4,Paul Bunyan,Tấm and Cám,Which is the more interesting folktale? Paul Bunyan or Tấm and Cám? ... Answer with only and exactly one of these two options.,Tấm and Cám
5,Paul Bunyan,Tấm and Cám,What's the more interesting folktale -- Paul Bunyan or Tấm and Cám? Answer with only and exactly one of these two options.,Tấm and Cám
1,Paul Bunyan,The Clever Rabbit and the Lion,What is the more interesting folktale? Paul Bunyan or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,Paul Bunyan
2,Paul Bunyan,The Clever Rabbit and the Lion,Which is the more interesting folktale? Paul Bunyan or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,Paul Bunyan
3,Paul Bunyan,The Clever Rabbit and the Lion,What's a more interesting folktale: Paul Bunyan or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,The Clever Rabbit and the Lion
4,Paul Bunyan,The Clever Rabbit and the Lion,Which is the more interesting folktale? Paul Bunyan or The Clever Rabbit and the Lion? ... Answer with only and exactly one of these two options.,Paul Bunyan
5,Paul Bunyan,The Clever Rabbit and the Lion,What's the more interesting folktale -- Paul Bunyan or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,Paul Bunyan
1,Paul Bunyan,Anansi and the Moss-Covered Rock,What is the more interesting folktale? Paul Bunyan or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Anansi and the Moss-Covered Rock
2,Paul Bunyan,Anansi and the Moss-Covered Rock,Which is the more interesting folktale? Paul Bunyan or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Anansi and the Moss-Covered Rock
3,Paul Bunyan,Anansi and the Moss-Covered Rock,What's a more interesting folktale: Paul Bunyan or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Anansi and the Moss-Covered Rock
4,Paul Bunyan,Anansi and the Moss-Covered Rock,Which is the more interesting folktale? Paul Bunyan or Anansi and the Moss-Covered Rock? ... Answer with only and exactly one of these two options.,Paul Bunyan
5,Paul Bunyan,Anansi and the Moss-Covered Rock,What's the more interesting folktale -- Paul Bunyan or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Anansi and the Moss-Covered Rock
1,Paul Bunyan,The Monkey and the Turtle,What is the more interesting folktale? Paul Bunyan or The Monkey and the Turtle? Answer with only and exactly one of these two options.,Paul Bunyan
2,Paul Bunyan,The Monkey and the Turtle,Which is the more interesting folktale? Paul Bunyan or The Monkey and the Turtle? Answer with only and exactly one of these two options.,The Monkey and the Turtle
3,Paul Bunyan,The Monkey and the Turtle,What's a more interesting folktale: Paul Bunyan or The Monkey and the Turtle? Answer with only and exactly one of these two options.,The Monkey and the Turtle
4,Paul Bunyan,The Monkey and the Turtle,Which is the more interesting folktale? Paul Bunyan or The Monkey and the Turtle? ... Answer with only and exactly one of these two options.,Paul Bunyan
5,Paul Bunyan,The Monkey and the Turtle,What's the more interesting folktale -- Paul Bunyan or The Monkey and the Turtle? Answer with only and exactly one of these two options.,The Monkey and the Turtle
1,The Pied Piper of Hamelin,La Llorona,What is the more interesting folktale? The Pied Piper of Hamelin or La Llorona? Answer with only and exactly one of these two options.,La Llorona
2,The Pied Piper of Hamelin,La Llorona,Which is the more interesting folktale? The Pied Piper of Hamelin or La Llorona? Answer with only and exactly one of these two options.,La Llorona
3,The Pied Piper of Hamelin,La Llorona,What's a more interesting folktale: The Pied Piper of Hamelin or La Llorona? Answer with only and exactly one of these two options.,La Llorona
4,The Pied Piper of Hamelin,La Llorona,Which is the more interesting folktale? The Pied Piper of Hamelin or La Llorona? ... Answer with only and exactly one of these two options.,La Llorona
5,The Pied Piper of Hamelin,La Llorona,What's the more interesting folktale -- The Pied Piper of Hamelin or La Llorona? Answer with only and exactly one of these two options.,La Llorona
1,The Pied Piper of Hamelin,Momotaro,What is the more interesting folktale? The Pied Piper of Hamelin or Momotaro? Answer with only and exactly one of these two options.,Momotaro
2,The Pied Piper of Hamelin,Momotaro,Which is the more interesting folktale? The Pied Piper of Hamelin or Momotaro? Answer with only and exactly one of these two options.,Momotaro
3,The Pied Piper of Hamelin,Momotaro,What's a more interesting folktale: The Pied Piper of Hamelin or Momotaro? Answer with only and exactly one of these two options.,Momotaro
4,The Pied Piper of Hamelin,Momotaro,Which is the more interesting folktale? The Pied Piper of Hamelin or Momotaro? ... Answer with only and exactly one of these two options.,Momotaro
5,The Pied Piper of Hamelin,Momotaro,What's the more interesting folktale -- The Pied Piper of Hamelin or Momotaro? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
1,The Pied Piper of Hamelin,Paul Bunyan,What is the more interesting folktale? The Pied Piper of Hamelin or Paul Bunyan? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
2,The Pied Piper of Hamelin,Paul Bunyan,Which is the more interesting folktale? The Pied Piper of Hamelin or Paul Bunyan? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
3,The Pied Piper of Hamelin,Paul Bunyan,What's a more interesting folktale: The Pied Piper of Hamelin or Paul Bunyan? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
4,The Pied Piper of Hamelin,Paul Bunyan,Which is the more interesting folktale? The Pied Piper of Hamelin or Paul Bunyan? ... Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
5,The Pied Piper of Hamelin,Paul Bunyan,What's the more interesting folktale -- The Pied Piper of Hamelin or Paul Bunyan? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
1,The Pied Piper of Hamelin,The Fox and the Grapes,What is the more interesting folktale? The Pied Piper of Hamelin or The Fox and the Grapes? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
2,The Pied Piper of Hamelin,The Fox and the Grapes,Which is the more interesting folktale? The Pied Piper of Hamelin or The Fox and the Grapes? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
3,The Pied Piper of Hamelin,The Fox and the Grapes,What's a more interesting folktale: The Pied Piper of Hamelin or The Fox and the Grapes? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
4,The Pied Piper of Hamelin,The Fox and the Grapes,Which is the more interesting folktale? The Pied Piper of Hamelin or The Fox and the Grapes? ... Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
5,The Pied Piper of Hamelin,The Fox and the Grapes,What's the more interesting folktale -- The Pied Piper of Hamelin or The Fox and the Grapes? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
1,The Pied Piper of Hamelin,Ali Baba and the Forty Thieves,What is the more interesting folktale? The Pied Piper of Hamelin or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
2,The Pied Piper of Hamelin,Ali Baba and the Forty Thieves,Which is the more interesting folktale? The Pied Piper of Hamelin or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
3,The Pied Piper of Hamelin,Ali Baba and the Forty Thieves,What's a more interesting folktale: The Pied Piper of Hamelin or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
4,The Pied Piper of Hamelin,Ali Baba and the Forty Thieves,Which is the more interesting folktale? The Pied Piper of Hamelin or Ali Baba and the Forty Thieves? ... Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
5,The Pied Piper of Hamelin,Ali Baba and the Forty Thieves,What's the more interesting folktale -- The Pied Piper of Hamelin or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
1,The Pied Piper of Hamelin,Tấm and Cám,What is the more interesting folktale? The Pied Piper of Hamelin or Tấm and Cám? Answer with only and exactly one of these two options.,Tấm and Cám
2,The Pied Piper of Hamelin,Tấm and Cám,Which is the more interesting folktale? The Pied Piper of Hamelin or Tấm and Cám? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
3,The Pied Piper of Hamelin,Tấm and Cám,What's a more interesting folktale: The Pied Piper of Hamelin or Tấm and Cám? Answer with only and exactly one of these two options.,Tấm and Cám
4,The Pied Piper of Hamelin,Tấm and Cám,Which is the more interesting folktale? The Pied Piper of Hamelin or Tấm and Cám? ... Answer with only and exactly one of these two options.,Tấm and Cám
5,The Pied Piper of Hamelin,Tấm and Cám,What's the more interesting folktale -- The Pied Piper of Hamelin or Tấm and Cám? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
1,The Pied Piper of Hamelin,The Clever Rabbit and the Lion,What is the more interesting folktale? The Pied Piper of Hamelin or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
2,The Pied Piper of Hamelin,The Clever Rabbit and the Lion,Which is the more interesting folktale? The Pied Piper of Hamelin or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
3,The Pied Piper of Hamelin,The Clever Rabbit and the Lion,What's a more interesting folktale: The Pied Piper of Hamelin or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
4,The Pied Piper of Hamelin,The Clever Rabbit and the Lion,Which is the more interesting folktale? The Pied Piper of Hamelin or The Clever Rabbit and the Lion? ... Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
5,The Pied Piper of Hamelin,The Clever Rabbit and the Lion,What's the more interesting folktale -- The Pied Piper of Hamelin or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
1,The Pied Piper of Hamelin,Anansi and the Moss-Covered Rock,What is the more interesting folktale? The Pied Piper of Hamelin or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Anansi and the Moss-Covered Rock
2,The Pied Piper of Hamelin,Anansi and the Moss-Covered Rock,Which is the more interesting folktale? The Pied Piper of Hamelin or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,The Pied Piper of Hamelin
3,The Pied Piper of Hamelin,Anansi and the Moss-Covered Rock,What's a more interesting folktale: The Pied Piper of Hamelin or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,Anansi and the Moss-Covered Rock
4,The Pied Piper of Hamelin,Anansi and the Moss-Covered Rock,Which is the more interesting folktale? The Pied Piper of Hamelin or Anansi and the Moss-Covered Rock? ... Answer with only and exactly one of these two options.,Anansi and the Moss-Covered Rock
